ID,year,loan_limit,Gender,approv_in_adv,loan_type,loan_purpose,Credit_Worthiness,open_credit,business_or_commercial,loan_amount,rate_of_interest,Interest_rate_spread,Upfront_charges,term,Neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,Secured_by,total_units,income,credit_type,Credit_Score,co-applicant_credit_type,age,submission_of_application,LTV,Region,Security_Type,Status,dtir1
24905,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,76500,,,,360.0,not_neg,not_int,not_lpsm,138000.0,sb,pr,home,1U,2220.0,EXP,685,CIB,45-54,not_inst,55.43478261,North,direct,1,20.0
24906,2019,cf,Joint,nopre,type2,p1,l1,nopc,b/c,356500,,,,360.0,neg_amm,not_int,not_lpsm,368000.0,sb,pr,home,1U,5340.0,CRIF,846,EXP,25-34,not_inst,96.875,North,direct,1,44.0
24907,2019,cf,Male,pre,type1,p3,l1,nopc,nob/c,156500,,,,360.0,neg_amm,not_int,not_lpsm,168000.0,sb,pr,home,1U,3120.0,CRIF,534,CIB,65-74,to_inst,93.1547619,North,direct,1,44.0
24908,2019,cf,Female,nopre,type1,p1,l1,nopc,nob/c,406500,4.56,0.458,895.0,360.0,not_neg,not_int,not_lpsm,598000.0,sb,pr,home,1U,5340.0,CIB,629,CIB,45-54,not_inst,67.97658863,North,direct,0,44.0
24909,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,586500,3.175,-0.3446,650.0,360.0,not_neg,not_int,not_lpsm,748000.0,sb,sr,home,1U,12540.0,CIB,688,EXP,55-64,to_inst,78.40909091,south,direct,0,31.0
24910,2019,cf,Joint,nopre,type1,p3,l1,nopc,nob/c,306500,2.99,0.2837,10470.0,180.0,not_neg,not_int,not_lpsm,558000.0,sb,pr,home,1U,16860.0,EXP,668,EXP,65-74,to_inst,54.92831541,North,direct,0,6.0
24911,2019,cf,Female,nopre,type1,p3,l1,nopc,nob/c,136500,3.99,0.4819,4156.25,360.0,not_neg,not_int,not_lpsm,198000.0,sb,pr,home,1U,2100.0,EXP,758,CIB,>74,to_inst,68.93939394,North,direct,0,36.0
24912,2019,cf,Male,pre,type1,p3,l1,nopc,nob/c,306500,,,,360.0,not_neg,not_int,not_lpsm,448000.0,sb,pr,home,1U,2880.0,EXP,692,CIB,55-64,to_inst,68.41517857,south,direct,1,44.0
24913,2019,cf,Female,nopre,type1,p3,l1,nopc,nob/c,316500,3.625,0.0454,6661.88,360.0,not_neg,not_int,not_lpsm,508000.0,sb,pr,home,1U,2760.0,CIB,620,CIB,65-74,not_inst,62.30314961,south,direct,0,44.0
24914,2019,cf,Male,nopre,type1,p3,l2,nopc,nob/c,336500,4.5,0.0759,0.0,360.0,not_neg,not_int,not_lpsm,428000.0,sb,pr,home,1U,4980.0,CIB,846,CIB,35-44,not_inst,78.62149533,south,direct,0,35.0
24915,2019,,Joint,nopre,type1,p3,l1,nopc,nob/c,426500,4.99,1.2706,169.5,360.0,not_neg,not_int,not_lpsm,568000.0,sb,pr,home,1U,8940.0,EXP,533,EXP,45-54,not_inst,75.08802817,North,direct,0,34.0
24916,2019,cf,Joint,nopre,type3,p1,l1,nopc,nob/c,476500,,,,360.0,not_neg,not_int,not_lpsm,,sb,pr,home,1U,6780.0,EQUI,518,EXP,45-54,to_inst,,south,direct,1,
24917,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,196500,5.25,1.2158,5245.09,360.0,not_neg,not_int,not_lpsm,258000.0,sb,pr,home,1U,3840.0,EXP,812,EXP,25-34,to_inst,76.1627907,south,direct,0,49.0
24918,2019,cf,Female,nopre,type1,p1,l1,nopc,nob/c,186500,4.25,1.0186,5376.25,360.0,not_neg,not_int,not_lpsm,218000.0,sb,pr,home,1U,3840.0,CRIF,534,CIB,55-64,to_inst,85.55045872,central,direct,0,46.0
24919,2019,cf,Female,nopre,type1,p1,l1,nopc,nob/c,436500,3.625,0.266,6260.0,360.0,not_neg,not_int,not_lpsm,468000.0,sb,pr,home,1U,4920.0,CIB,647,EXP,35-44,not_inst,93.26923077,south,direct,0,42.0
24920,2019,cf,Male,nopre,type2,p1,l1,nopc,b/c,246500,4.25,1.4614,0.0,360.0,not_neg,not_int,not_lpsm,258000.0,sb,pr,home,1U,5400.0,EXP,683,CIB,25-34,not_inst,95.54263566,North,direct,0,39.0
24921,2019,cf,Male,nopre,type3,p4,l1,nopc,nob/c,216500,2.99,-0.6203,2101.63,360.0,not_neg,not_int,not_lpsm,228000.0,sb,pr,home,1U,,CIB,705,CIB,55-64,to_inst,94.95614035,North,direct,0,
24922,2019,,Male,nopre,type1,p1,l1,nopc,nob/c,306500,4.125,0.2848,3752.4,360.0,not_neg,not_int,not_lpsm,318000.0,sb,pr,home,1U,5580.0,EXP,701,CIB,35-44,not_inst,96.3836478,North,direct,0,37.0
24923,2019,cf,Male,pre,type1,p1,l1,nopc,nob/c,316500,3.75,0.1681,5560.63,360.0,not_neg,int_only,not_lpsm,338000.0,sb,pr,home,1U,3720.0,EXP,591,CIB,45-54,to_inst,93.63905325,North,direct,0,41.0
24924,2019,cf,Male,pre,type1,p1,l1,nopc,nob/c,506500,4.25,0.147,0.0,360.0,not_neg,not_int,not_lpsm,538000.0,sb,pr,home,1U,7500.0,CIB,647,CIB,25-34,not_inst,94.14498141,North,direct,0,36.0
24925,2019,cf,Female,nopre,type1,p3,l1,nopc,nob/c,266500,4.99,1.3774,2337.4,360.0,not_neg,not_int,not_lpsm,408000.0,sb,pr,home,1U,3540.0,EXP,889,CIB,45-54,not_inst,65.31862745,south,direct,0,40.0
24926,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,406500,4.0,0.34,4070.0,360.0,not_neg,not_int,not_lpsm,1018000.0,sb,ir,home,1U,9180.0,EXP,651,CIB,55-64,not_inst,39.93123772,south,direct,0,38.0
24927,2019,cf,Joint,nopre,type1,p4,l1,nopc,nob/c,656500,3.375,-0.1555,13016.46,360.0,not_neg,not_int,not_lpsm,1108000.0,sb,pr,home,1U,9660.0,EXP,716,EXP,45-54,not_inst,59.25090253,North,direct,0,42.0
24928,2019,ncf,Male,pre,type1,p4,l1,nopc,nob/c,256500,,,,180.0,not_neg,not_int,not_lpsm,418000.0,sb,pr,home,1U,3780.0,EXP,780,EXP,65-74,to_inst,61.36363636,central,direct,1,45.0
24929,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,396500,,,,360.0,not_neg,not_int,not_lpsm,418000.0,sb,pr,home,1U,7560.0,CRIF,799,CIB,35-44,not_inst,94.85645933,North,direct,1,42.0
24930,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,396500,4.99,0.6835,5072.5,360.0,not_neg,not_int,not_lpsm,528000.0,sb,pr,home,1U,9060.0,EXP,766,CIB,35-44,to_inst,75.09469697,south,direct,0,30.0
24931,2019,cf,Female,pre,type2,p3,l1,nopc,b/c,166500,3.99,1.2351,1657.5,360.0,not_neg,not_int,not_lpsm,198000.0,sb,pr,home,1U,3480.0,CIB,868,CIB,35-44,to_inst,84.09090909,central,direct,0,56.0
24932,2019,cf,Male,nopre,type3,p4,l1,nopc,nob/c,466500,,,,360.0,not_neg,not_int,not_lpsm,,sb,pr,home,1U,0.0,EQUI,765,EXP,45-54,to_inst,,North,direct,1,
24933,2019,cf,Male,nopre,type2,p4,l1,nopc,b/c,236500,,,,360.0,not_neg,not_int,not_lpsm,248000.0,sb,pr,home,1U,3120.0,CRIF,673,CIB,35-44,to_inst,95.36290323,central,direct,1,38.0
24934,2019,ncf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,866500,,,,360.0,neg_amm,not_int,not_lpsm,1508000.0,sb,pr,home,1U,13620.0,CRIF,876,EXP,35-44,not_inst,57.4602122,south,direct,1,44.0
24935,2019,cf,Joint,nopre,type1,p4,l1,nopc,nob/c,416500,3.625,-0.1235,2462.96,360.0,not_neg,not_int,not_lpsm,528000.0,sb,pr,home,1U,7380.0,CRIF,886,EXP,45-54,not_inst,78.88257576,North,direct,0,39.0
24936,2019,cf,Sex Not Available,nopre,type2,p3,l1,nopc,b/c,436500,3.25,0.4238,12283.66,360.0,not_neg,not_int,not_lpsm,508000.0,sb,pr,home,1U,4920.0,CRIF,772,EXP,55-64,to_inst,85.92519685,south,direct,0,38.0
24937,2019,ncf,Joint,nopre,type1,p3,l1,nopc,nob/c,356500,4.125,0.1691,786.33,360.0,not_neg,not_int,not_lpsm,608000.0,sb,pr,home,1U,3720.0,CRIF,640,EXP,55-64,not_inst,58.63486842,North,direct,0,49.0
24938,2019,cf,Male,nopre,type3,p4,l1,nopc,nob/c,386500,2.75,-0.7794,3808.56,360.0,not_neg,not_int,not_lpsm,428000.0,sb,pr,home,1U,,CIB,798,CIB,45-54,not_inst,90.30373832,south,direct,0,
24939,2019,cf,Female,nopre,type1,p1,l1,nopc,nob/c,596500,3.875,-0.0231,3375.48,360.0,not_neg,not_int,not_lpsm,668000.0,sb,pr,home,1U,6780.0,CRIF,858,EXP,25-34,not_inst,89.29640719,North,direct,0,39.0
24940,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,196500,4.125,0.4465,3188.01,312.0,not_neg,not_int,not_lpsm,338000.0,sb,pr,home,1U,9060.0,CIB,543,EXP,25-34,to_inst,58.13609467,south,direct,0,30.0
24941,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,206500,2.99,0.245,5882.75,180.0,not_neg,not_int,not_lpsm,708000.0,sb,pr,home,1U,9600.0,EXP,846,CIB,65-74,to_inst,29.16666667,North,direct,0,23.0
24942,2019,cf,Joint,nopre,type3,p3,l1,nopc,nob/c,136500,,,,360.0,not_neg,not_int,not_lpsm,,sb,pr,home,1U,3360.0,EQUI,555,EXP,65-74,to_inst,,North,direct,1,
24943,2019,ncf,Female,nopre,type1,p3,l1,nopc,nob/c,166500,,,,360.0,not_neg,not_int,not_lpsm,,sb,pr,home,1U,4560.0,EQUI,603,EXP,65-74,to_inst,,North,direct,1,
24944,2019,cf,Joint,nopre,type1,p1,l1,nopc,nob/c,606500,3.625,0.0945,14690.09,360.0,not_neg,not_int,not_lpsm,808000.0,sb,ir,home,1U,22500.0,EXP,808,EXP,35-44,not_inst,75.06188119,central,direct,0,28.0
24945,2019,cf,Sex Not Available,nopre,type2,p4,l1,nopc,b/c,86500,,,,360.0,not_neg,not_int,not_lpsm,948000.0,sb,pr,home,1U,3300.0,CIB,519,EXP,55-64,to_inst,9.124472574,south,direct,1,31.0
24946,2019,ncf,Female,nopre,type1,p2,l1,nopc,nob/c,116500,,,,180.0,not_neg,not_int,not_lpsm,128000.0,sb,ir,home,1U,4140.0,CIB,786,EXP,45-54,not_inst,91.015625,south,direct,1,11.0
24947,2019,cf,Male,pre,type1,p3,l1,nopc,nob/c,426500,3.5,0.5271,3854.0,180.0,not_neg,not_int,not_lpsm,598000.0,sb,pr,home,1U,6000.0,CIB,769,CIB,45-54,not_inst,71.32107023,south,direct,0,42.0
24948,2019,ncf,Male,pre,type1,p3,l1,nopc,nob/c,166500,3.99,0.5893,4044.53,144.0,not_neg,not_int,not_lpsm,238000.0,sb,pr,home,1U,6600.0,CRIF,685,CIB,35-44,to_inst,69.95798319,North,direct,0,30.0
24949,2019,cf,Sex Not Available,pre,type1,p3,l1,nopc,nob/c,426500,3.375,-0.0529,,180.0,not_neg,not_int,not_lpsm,608000.0,sb,pr,home,1U,11340.0,CRIF,556,CIB,35-44,to_inst,70.14802632,south,direct,0,27.0
24950,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,376500,4.5,-0.088,0.0,360.0,neg_amm,not_int,not_lpsm,718000.0,sb,pr,home,1U,7080.0,EXP,567,CIB,65-74,not_inst,52.43732591,North,direct,0,20.0
24951,2019,cf,Male,nopre,type2,p1,l1,nopc,b/c,286500,3.25,0.4639,0.0,360.0,not_neg,not_int,not_lpsm,298000.0,sb,pr,home,1U,4800.0,CIB,632,CIB,35-44,not_inst,96.1409396,North,direct,0,31.0
24952,2019,cf,Joint,nopre,type1,p4,l1,nopc,nob/c,706500,4.125,0.327,0.0,360.0,not_neg,not_int,not_lpsm,888000.0,sb,pr,home,1U,8520.0,CIB,818,EXP,35-44,not_inst,79.56081081,south,direct,0,40.0
24953,2019,cf,Sex Not Available,nopre,type2,p4,l1,nopc,b/c,146500,4.75,1.5693,0.0,360.0,not_neg,not_int,not_lpsm,148000.0,sb,pr,home,1U,2760.0,EXP,584,CIB,<25,to_inst,98.98648649,south,direct,0,55.0
24954,2019,cf,Joint,nopre,type1,p3,l1,nopc,nob/c,446500,3.875,0.6514,295.0,240.0,not_neg,not_int,not_lpsm,628000.0,sb,pr,home,1U,7140.0,EXP,750,EXP,55-64,to_inst,71.09872611,North,direct,0,34.0
24955,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,286500,3.875,0.2859,1250.0,360.0,not_neg,not_int,not_lpsm,608000.0,sb,pr,home,1U,5820.0,EXP,808,CIB,55-64,to_inst,47.12171053,south,direct,0,22.0
24956,2019,cf,Joint,nopre,type3,p3,l1,nopc,nob/c,166500,,,,360.0,not_neg,not_int,not_lpsm,,sb,pr,home,1U,2100.0,EQUI,838,EXP,65-74,not_inst,,North,direct,1,
24957,2019,cf,Female,nopre,type2,p4,l1,nopc,b/c,636500,,,,360.0,not_neg,int_only,not_lpsm,658000.0,sb,pr,home,1U,12000.0,CIB,741,CIB,65-74,to_inst,96.7325228,south,direct,1,36.0
24958,2019,,Female,nopre,type2,p3,l1,nopc,b/c,226500,3.625,0.5626,,360.0,not_neg,not_int,not_lpsm,258000.0,sb,pr,home,1U,3720.0,CRIF,820,CIB,25-34,not_inst,87.79069767,North,direct,0,40.0
24959,2019,cf,Sex Not Available,nopre,type1,p3,l2,nopc,nob/c,316500,4.5,0.4649,4771.25,360.0,not_neg,not_int,not_lpsm,928000.0,sb,pr,home,1U,5880.0,CRIF,665,CIB,65-74,to_inst,34.10560345,south,direct,0,24.0
24960,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,156500,3.99,0.4597,3000.0,360.0,not_neg,not_int,not_lpsm,208000.0,sb,pr,home,1U,3300.0,CRIF,783,EXP,>74,to_inst,75.24038462,south,direct,0,30.0
24961,2019,cf,Male,nopre,type1,p1,l2,nopc,nob/c,706500,4.875,0.6484,1645.03,360.0,not_neg,not_int,not_lpsm,748000.0,sb,pr,home,1U,8400.0,EXP,663,CIB,35-44,not_inst,94.45187166,south,direct,0,46.0
24962,2019,cf,Female,nopre,type1,p3,l1,nopc,nob/c,196500,4.25,0.7872,5493.02,240.0,not_neg,not_int,not_lpsm,318000.0,sb,pr,home,1U,5520.0,EXP,612,CIB,65-74,to_inst,61.79245283,North,direct,0,30.0
24963,2019,cf,Male,nopre,type3,p1,l1,nopc,nob/c,166500,4.5,0.7084,1680.0,360.0,not_neg,not_int,not_lpsm,168000.0,sb,pr,home,1U,2040.0,CRIF,739,CIB,65-74,to_inst,99.10714286,North,direct,0,52.0
24964,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,486500,3.875,-0.1583,7305.0,360.0,not_neg,not_int,not_lpsm,1198000.0,sb,pr,home,1U,8580.0,CIB,812,CIB,45-54,not_inst,40.60934891,North,direct,0,33.0
24965,2019,cf,Joint,nopre,type1,p1,l1,nopc,nob/c,406500,4.375,0.0301,0.0,360.0,not_neg,not_int,not_lpsm,428000.0,sb,pr,home,1U,10740.0,EXP,571,EXP,45-54,not_inst,94.97663551,central,direct,0,44.0
24966,2019,ncf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,146500,,,,360.0,not_neg,not_int,not_lpsm,188000.0,sb,pr,home,1U,2400.0,CRIF,870,CIB,35-44,to_inst,77.92553191,south,direct,1,49.0
24967,2019,cf,Joint,nopre,type1,p1,l1,nopc,nob/c,306500,4.875,0.9155,1330.09,360.0,not_neg,not_int,not_lpsm,408000.0,sb,ir,home,1U,12600.0,CRIF,793,EXP,35-44,not_inst,75.12254902,North,direct,0,30.0
24968,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,266500,3.875,0.5347,6245.0,300.0,not_neg,not_int,not_lpsm,298000.0,sb,pr,home,1U,5040.0,CRIF,804,CIB,35-44,to_inst,89.4295302,North,direct,0,26.0
24969,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,436500,3.5,0.5636,9323.75,240.0,not_neg,not_int,not_lpsm,588000.0,sb,pr,home,1U,7860.0,CIB,801,EXP,35-44,to_inst,74.23469388,south,direct,0,40.0
24970,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,446500,3.375,-0.1955,0.0,360.0,not_neg,not_int,not_lpsm,1308000.0,sb,pr,home,1U,5700.0,CIB,711,CIB,55-64,not_inst,34.13608563,North,direct,0,47.0
24971,2019,cf,Female,nopre,type2,p1,l1,nopc,b/c,216500,3.5,0.8157,0.0,360.0,not_neg,not_int,not_lpsm,218000.0,sb,pr,home,1U,2580.0,CIB,673,EXP,55-64,not_inst,99.31192661,central,direct,0,49.0
24972,2019,cf,Sex Not Available,nopre,type1,p1,l1,nopc,nob/c,476500,3.99,0.2859,,360.0,not_neg,int_only,not_lpsm,688000.0,sb,pr,home,1U,15180.0,CIB,634,EXP,45-54,to_inst,69.25872093,south,direct,0,23.0
24973,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,466500,3.625,0.0903,1790.25,360.0,not_neg,not_int,not_lpsm,658000.0,sb,pr,home,1U,8700.0,CIB,834,CIB,55-64,not_inst,70.89665653,North,direct,0,33.0
24974,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,326500,,,,240.0,not_neg,int_only,not_lpsm,,sb,pr,home,1U,5400.0,EQUI,764,EXP,25-34,not_inst,,south,direct,1,
24975,2019,cf,Joint,nopre,type2,p1,l1,nopc,b/c,656500,,,,360.0,not_neg,not_int,not_lpsm,678000.0,sb,pr,home,1U,8160.0,CRIF,865,EXP,25-34,not_inst,96.82890855,North,direct,1,60.0
24976,2019,cf,Sex Not Available,nopre,type1,p1,l1,nopc,nob/c,506500,,,,360.0,not_neg,not_int,not_lpsm,808000.0,sb,ir,home,2U,9180.0,EXP,593,CIB,45-54,to_inst,62.68564356,south,direct,1,44.0
24977,2019,cf,Sex Not Available,pre,type3,p4,l1,nopc,nob/c,246500,3.75,-0.1094,0.0,360.0,not_neg,not_int,not_lpsm,358000.0,sb,pr,home,1U,,EXP,511,EXP,35-44,to_inst,68.8547486,south,direct,0,
24978,2019,cf,Joint,pre,type1,p3,l1,nopc,nob/c,186500,,,,360.0,not_neg,not_int,not_lpsm,288000.0,sb,pr,home,1U,5640.0,CRIF,533,EXP,65-74,to_inst,64.75694444,south,direct,1,31.0
24979,2019,cf,Joint,nopre,type1,p3,l2,opc,nob/c,56500,4.5,0.252,,360.0,not_neg,int_only,not_lpsm,2008000.0,sb,pr,home,1U,7980.0,EXP,677,EXP,65-74,to_inst,2.81374502,North,direct,0,41.0
24980,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,486500,4.75,0.2531,4177.19,360.0,not_neg,not_int,not_lpsm,578000.0,sb,sr,home,1U,9840.0,EXP,774,CIB,65-74,to_inst,84.16955017,south,direct,0,44.0
24981,2019,cf,Joint,nopre,type1,p3,l1,nopc,nob/c,346500,3.99,-0.0249,6370.0,360.0,not_neg,not_int,not_lpsm,3408000.0,sb,pr,home,1U,11460.0,EXP,638,EXP,>74,to_inst,10.16725352,North,direct,0,25.0
24982,2019,cf,Male,pre,type1,p3,l1,nopc,nob/c,136500,3.875,0.9787,2940.31,180.0,not_neg,not_int,not_lpsm,348000.0,sb,pr,home,1U,3660.0,EXP,644,CIB,55-64,to_inst,39.22413793,North,direct,0,44.0
24983,2019,cf,Male,pre,type3,p1,l1,nopc,nob/c,586500,3.5,-0.2979,2800.0,360.0,not_neg,not_int,not_lpsm,588000.0,sb,pr,home,1U,7140.0,EXP,732,CIB,35-44,to_inst,99.74489796,south,direct,0,49.0
24984,2019,cf,Female,nopre,type1,p4,l1,nopc,nob/c,336500,,,,360.0,not_neg,not_int,lpsm,,sb,pr,home,1U,7440.0,EQUI,586,EXP,55-64,to_inst,,North,direct,1,
24985,2019,cf,Female,nopre,type2,p3,l1,nopc,b/c,76500,4.75,1.3051,1818.9,300.0,neg_amm,not_int,not_lpsm,88000.0,sb,pr,home,1U,2940.0,CIB,642,CIB,35-44,to_inst,86.93181818,North,direct,0,45.0
24986,2019,ncf,Male,pre,type3,p4,l1,nopc,nob/c,286500,,,,360.0,not_neg,not_int,not_lpsm,258000.0,sb,pr,home,1U,,EXP,872,CIB,65-74,to_inst,111.0465116,south,direct,1,
24987,2019,,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,136500,3.625,0.544,3817.34,180.0,not_neg,not_int,not_lpsm,208000.0,sb,pr,home,1U,3000.0,EXP,898,CIB,55-64,to_inst,65.625,south,direct,0,45.0
24988,2019,ncf,Sex Not Available,pre,type1,p1,l1,nopc,nob/c,486500,3.99,-0.168,11957.75,360.0,not_neg,not_int,not_lpsm,598000.0,sb,pr,home,1U,14640.0,CIB,734,CIB,45-54,to_inst,81.35451505,south,direct,0,31.0
24989,2019,cf,Female,nopre,type1,p1,l1,nopc,nob/c,416500,3.75,-0.4929,7265.8,360.0,not_neg,int_only,not_lpsm,498000.0,sb,pr,home,1U,3840.0,CIB,639,CIB,25-34,not_inst,83.63453815,North,direct,0,47.0
